date,time,user,text
13.9.2018,16:56,אפל,לכבוד עשרת ימי תשובה חשבתי על לחדש את השיעור בפסיקתא דרב כהנא
13.9.2018,16:57,אפל,או לפחות להנות מהסרטון הזה:
13.9.2018,16:57,אפל,מוקדש בעיקר לויני
13.9.2018,16:58,אפל,הסיבה שפתחתי את הקבוצה היא כי קורה לי הרבה שיש כל מיני אנקדוטות מהגוש שאני רוצה לשתף אתכם בהן - ואז אני מוצא את עצמי שולח לכולכם בפרטי.
13.9.2018,16:58,אפל,אבל אתם יכולים לעזוב את הקבוצה אם זה מעיק על חייכם. אני לא אעלב.
13.9.2018,17:01,ויני,"שתדע לך, שאחריי שישבתי למשה - מחר אני בהוצאה - לוי על הראש שבועיים, עד שהוא הצליח למצוא איזה מחסן ספרים מצו'קמק שהחזיק איזה חמישה וחצי סטים של הדרעק הזה, ועוד הוצאתי על זה איזה 100 שח, אני עדיין לא מצליח למצוא את כרך א' שלי וחושד שהרב גיגי 'שאל' אותו ממני כי לו לא היה בכלל, כי מי לעזאזל מחזיק את זה?!?!"
13.9.2018,17:02,אפל,מגיע לך
13.9.2018,17:19,ויני,בחיי הוא משעמם
13.9.2018,17:19,ויני,לא הצלחתי לשרוד יותר משתי דקות
13.9.2018,18:20,dorgoldenberg,"אם כבר פתחת, אני מניח שעברת עבודה כבר מזמן. האמנם?"
13.9.2018,18:27,אפל,התחלתי בראשון שעבר לעבוד בחברת Align technology באור יהודה.
13.9.2018,18:27,dorgoldenberg,יפה מאוד. מה עושה החברה?
13.9.2018,18:29,ויני,אפל עשה הסבה לשיננית
13.9.2018,18:36,אפל,מייצרת ומפתחת מכשירים לרפואת השיניים.
13.9.2018,18:37,אפל,יש כמובן עוד יכולות מגניבות לסורק הזה - אבל הן עוד בפיתוח
13.9.2018,19:05,dorgoldenberg,יפה מאוד. בהצלחה!
14.9.2018,13:46,ויני,שלום לכולם ושנה טובה!
14.9.2018,13:46,ויני,אני מופתע שלא שלחת את זה אפל
14.9.2018,13:47,ויני,https://docs.google.com/spreadsheets/d/1AAwB1mlnMCIMKRIy_Uip1oF9plxxqHbPA5CbhbwD1cY/edit?usp=drivesdk
14.9.2018,13:52,אפל,מאיפה קיבלת את זה?
